Distance (Mpc),Velocity (km/s)
88.7144659,6276.805536
47.98818881,3379.364009
56.19079122,3881.284046
26.50219367,1829.414402
35.57116948,2496.882592
64.89797418,4525.791526
90.16201494,6289.84343
56.65837041,3978.733072
89.48322569,6403.438857
82.69194642,5710.467844
77.49279864,5368.381026
25.68075188,1782.030891
17.94676025,1271.583113
26.6265791,1801.607553
61.25172857,4322.664707
24.16249983,1666.71876
85.62747488,5988.714796
82.49366569,5719.472846
75.63146929,5326.790587
90.12016586,6379.074542
